,serial,OBJ_ALG,FAR_ALG,OBJ_FAR_AGG,LDCM,human_obj,human_far,human_objfaragg
155,1577,0.513323402,1.181718355,0.847520879,-0.087230397,1.5,3,2.25
156,1588,0.593720718,1.060606342,0.82716353,-0.232165105,1.5,4.5,3
157,1593,2.322746033,3.838281747,3.08051389,0.322413207,2,2,2
158,1601,3.139370715,3.022903195,3.081136955,-0.592283428,1.5,6.5,4
159,1604,0.497303,1.748278716,1.122790858,-0.215507262,1.5,2,1.75
160,1629,1.005741486,2.229937589,1.617839538,0.580495592,4,5.5,4.75
161,1649,1.106093766,3.712868968,2.409481367,0.086426897,2,3.5,2.75
162,1660,1.729126592,2.838628949,2.28387777,-0.6455334,2,5,3.5
163,1683,1.968777131,6.381389089,4.17508311,0.138753938,7,5.5,6.25
164,1726,1.005741486,2.229937589,1.617839538,0.186991417,4,5.5,4.75
165,1738,2.320692024,5.344805162,3.832748593,0.519595396,2.5,6.5,4.5
166,1741,1.156623487,2.474337701,1.815480594,0.341930427,2,4.5,3.25
167,1743,1.782708901,5.911180568,3.846944735,0.410726605,4,4,4
168,1752,1.002650778,1.539653573,1.271152175,-0.456810809,2,2,2
169,1768,0.20366154,0.601042024,0.402351782,-0.621637192,1.5,6,3.75
170,1783,1.94898877,4.580525704,3.264757237,0.576957429,3,7,5
171,1785,2.952413541,5.987717275,4.470065408,0.811281198,3,4.5,3.75
172,1798,0.709787753,0.941520491,0.825654122,-0.280204634,1.5,4.5,3
173,1800,1.596423206,1.397700253,1.49706173,-1.193012591,1.5,1,1.25
174,1815,0.33630533,0.638123254,0.487214292,-0.098855696,2,6,4
175,1827,0.587453007,0.259247106,0.423350057,-0.098855696,1.5,4,2.75
176,1830,0.513969117,1.289288961,0.901629039,-0.005420392,2.5,3.5,3
177,1831,0.33404354,0.89813721,0.616090375,-0.355026028,3,7,5
178,1840,0.834168126,1.983815971,1.408992048,0.875577808,1.5,5,3.25
179,1842,1.348867546,4.128073296,2.738470421,0.419613821,1.5,2.5,2
180,1847,2.603935046,7.279082544,4.941508795,0.496257394,5,7,6
181,1862,0.513323402,2.194448524,1.353885963,0.129821994,5,7,6
182,1878,0.91418211,1.46244104,1.188311575,0.151281151,1.5,4,2.75
183,1888,5.022693621,8.215865151,6.619279386,0.257781459,3,3.5,3.25
184,1893,2.866316139,2.761659842,2.81398799,0.148042283,2.5,6,4.25
185,1895,4.093006907,7.227116399,5.660061653,0.500615795,6,6,6
186,1905,2.273225074,5.087901624,3.680563349,0.323394479,1,5,3
187,1912,0.074825401,0.904060161,0.489442781,-0.528315939,2,6,4
188,1915,1.353528853,3.194830759,2.274179806,0.518584159,4.5,6.5,5.5
189,1921,2.141436323,3.182533402,2.661984863,-0.091203504,2,2.5,2.25
190,1931,0.669958028,1.567084772,1.1185214,-0.550215709,2,3.5,2.75
191,1932,2.147057627,4.330723725,3.238890676,0.567337839,2.5,4,3.25
192,1933,0.788486494,3.687180767,2.237833631,0.06780191,2.5,2,2.25
193,1942,1.502440191,2.486442737,1.994441464,-0.730263391,2,1.5,1.75
194,1943,3.601232451,7.361711763,5.481472107,0.192941451,5.5,3.5,4.5
195,1946,0.276271665,0.801258941,0.538765303,-1.753842409,1,1,1
196,1963,2.134122413,3.581245792,2.857684102,-0.186696743,1.5,1.5,1.5
197,2011,2.582227258,7.142684189,4.862455724,0.734325517,4,6,5
198,2018,1.029214922,3.286344106,2.157779514,0.372026373,3,5,4
199,2031,1.504870921,2.030187516,1.767529218,-0.043136515,2,4,3
200,2033,1.367683936,4.135270896,2.751477416,0.231856414,1,6,3.5
201,2036,1.320068255,3.458303206,2.38918573,0.39128439,4,4,4
202,2045,3.25346794,8.355035494,5.804251717,0.684177999,3,4,3.5
203,2066,0.513323402,1.181718355,0.847520879,-0.087230397,5,5,5
204,2076,2.769909546,7.394594319,5.082251933,0.468600214,3,6,4.5
205,2082,1.994405905,3.323121356,2.658763631,0.601489891,3,5,4
206,2083,0.623150084,1.738024717,1.1805874,0.074469508,3,5,4
207,2084,1.420278599,4.183667434,2.801973016,0.29789149,2,4,3
208,2085,1.452842026,4.730003643,3.091422834,-0.137723998,3,5,4
209,2091,2.029041562,4.876970552,3.453006057,0.467874329,3,6,4.5
210,2092,2.300696673,5.380124681,3.840410677,1.200259051,3,4,3.5
211,2094,4.615993663,8.89441526,6.755204461,-0.245063219,3,3,3
