[ROOT-INFO]: 2019-07-15 19:22:40,817: Testing Notes: Objective Distancing - Sentiment Sentence Level - rawScore * subjectivityPolarityAverage
[ROOT-INFO]: 2019-07-15 19:22:40,818: Objective Analysis Initialized
[REAPPRAISAL-INFO]: 2019-07-15 19:23:04,068: spaCy Library Loaded
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:04,068: Model Initialized
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,251: Old Score: 4.148936170212766, New Score: 0.04148936170212766
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,251: Old Score: 5.723404255319148, New Score: 0.8585106382978722
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,266: Old Score: 5.553191489361702, New Score: 0.05553191489361702
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,266: Old Score: 4.212765957446808, New Score: 4.212765957446808
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,283: Old Score: 3.152173913043478, New Score: 0.03152173913043478
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,299: Old Score: 5.434782608695652, New Score: 0.05434782608695653
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,299: Old Score: 3.3260869565217392, New Score: 1.6630434782608696
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,316: Old Score: 3.9361702127659575, New Score: 0.039361702127659576
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,332: Old Score: 4.6382978723404245, New Score: 0.046382978723404245
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,349: Old Score: 5.659574468085108, New Score: 0.05659574468085108
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,371: Old Score: 5.326086956521738, New Score: 1.479468599033816
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,405: Old Score: 5.369565217391305, New Score: 0.5369565217391304
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,420: Old Score: 3.9787234042553186, New Score: 3.9787234042553186
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,437: Old Score: 4.0212765957446805, New Score: 2.4127659574468088
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,470: Old Score: 4.787234042553191, New Score: 1.4361702127659572
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,490: Old Score: 5.456521739130435, New Score: 2.7282608695652173
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,507: Old Score: 3.765957446808511, New Score: 1.711798839458414
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,507: Old Score: 3.9375, New Score: 2.4609375
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,522: Old Score: 5.108695652173913, New Score: 0.051086956521739134
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,522: Old Score: 3.9787234042553186, New Score: 0.03978723404255319
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,539: Old Score: 3.4782608695652173, New Score: 0.034782608695652174
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,555: Old Score: 4.958333333333333, New Score: 0.04958333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,555: Old Score: 5.125, New Score: 0.051250000000000004
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,573: Old Score: 3.020833333333333, New Score: 2.0138888888888884
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,589: Old Score: 3.872340425531915, New Score: 0.03872340425531915
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,589: Old Score: 4.829787234042553, New Score: 0.048297872340425534
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,606: Old Score: 4.914893617021278, New Score: 0.04914893617021278
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,606: Old Score: 3.75, New Score: 0.875
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,621: Old Score: 4.770833333333333, New Score: 3.3395833333333336
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,638: Old Score: 5.125, New Score: 0.051250000000000004
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,638: Old Score: 4.333333333333333, New Score: 0.04333333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,661: Old Score: 3.0638297872340425, New Score: 0.3829787234042553
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,672: Old Score: 4.553191489361702, New Score: 0.04553191489361702
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,679: Old Score: 3.5319148936170213, New Score: 0.03531914893617021
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,694: Old Score: 4.0, New Score: 2.1333333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,694: Old Score: 5.531914893617022, New Score: 0.055319148936170216
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,712: Old Score: 5.0625, New Score: 0.050625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,728: Old Score: 4.6382978723404245, New Score: 0.046382978723404245
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,745: Old Score: 4.229166666666667, New Score: 1.5683159722222224
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,760: Old Score: 4.723404255319148, New Score: 3.6370212765957444
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,777: Old Score: 4.304347826086956, New Score: 2.943866459627329
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,777: Old Score: 4.297872340425532, New Score: 1.4326241134751774
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,793: Old Score: 5.604166666666668, New Score: 0.05604166666666668
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,793: Old Score: 3.9583333333333335, New Score: 0.03958333333333334
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,810: Old Score: 4.173913043478262, New Score: 0.9142857142857145
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,826: Old Score: 3.8541666666666665, New Score: 0.03854166666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,843: Old Score: 3.8936170212765964, New Score: 3.017553191489362
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,843: Old Score: 5.229166666666667, New Score: 0.052291666666666674
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,858: Old Score: 5.851063829787233, New Score: 1.1702127659574466
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,876: Old Score: 4.456521739130435, New Score: 0.22282608695652173
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,876: Old Score: 3.347826086956522, New Score: 0.9671497584541064
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,901: Old Score: 5.595744680851063, New Score: 0.055957446808510634
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,911: Old Score: 3.4791666666666665, New Score: 3.3631944444444444
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,921: Old Score: 4.340425531914893, New Score: 0.04340425531914893
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,926: Old Score: 4.574468085106383, New Score: 2.3329787234042554
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,943: Old Score: 5.866666666666666, New Score: 5.133333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,943: Old Score: 6.25531914893617, New Score: 0.0625531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,959: Old Score: 5.583333333333332, New Score: 0.7444444444444442
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,977: Old Score: 5.644444444444446, New Score: 1.2095238095238097
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:05,977: Old Score: 5.145833333333333, New Score: 0.05145833333333333
