[ROOT-INFO]: 2019-07-15 19:18:21,704: Testing Notes: Objective Distancing - Sentiment Sentence Level - rawScore * polarityOnly
[ROOT-INFO]: 2019-07-15 19:18:21,704: Objective Analysis Initialized
[REAPPRAISAL-INFO]: 2019-07-15 19:18:44,412: spaCy Library Loaded
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,414: Model Initialized
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,238: Old Score: 5.644444444444446, New Score: 4.99936507936508
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,254: Old Score: 5.145833333333333, New Score: 5.145833333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,271: Old Score: 4.108695652173913, New Score: 3.3280434782608697
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,287: Old Score: 3.9787234042553186, New Score: 3.9787234042553186
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,287: Old Score: 5.7659574468085095, New Score: 5.7659574468085095
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,304: Old Score: 5.291666666666667, New Score: 5.291666666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,304: Old Score: 5.3617021276595755, New Score: 5.3617021276595755
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,320: Old Score: 4.425531914893617, New Score: 4.425531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,351: Old Score: 5.489361702127661, New Score: 5.489361702127661
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,387: Old Score: 3.6458333333333335, New Score: 3.6458333333333335
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,406: Old Score: 4.574468085106383, New Score: 2.2872340425531914
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,442: Old Score: 3.739130434782609, New Score: 3.739130434782609
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,442: Old Score: 2.8297872340425534, New Score: 2.8297872340425534
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,458: Old Score: 4.0, New Score: 4.0
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,475: Old Score: 5.127659574468085, New Score: 5.127659574468085
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,490: Old Score: 3.9375, New Score: 3.9375
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,490: Old Score: 4.1875, New Score: 4.1875
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,512: Old Score: 3.739130434782609, New Score: 2.9913043478260875
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,522: Old Score: 3.1063829787234036, New Score: 3.1063829787234036
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,536: Old Score: 3.787234042553192, New Score: 3.597872340425532
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,536: Old Score: 4.208333333333333, New Score: 2.1041666666666665
